Film,Type,Distributor/Studio,Prod 1,Prod 2,Prod 3,Prod 4,Prod 5,Prod 6,,Gross (dom.) $,Date,CPI at,today,CPI Oct. 2015,IMDB,Open wkd,OP Wk (Real),Days avail.,Theatres (peak),Notes,Link,,
"Follow Me, Boys!",L,,Walt Disney Prod.,,,,,,,16207116,01/12/1966,33,117163163,,7.2,,,,,,,,http://www.the-numbers.com/search?searchterm=Follow+Me+Boys
The Princess and the Frog,,BV,,,,,,,,104400899,01/11/2009,216,114780664,,,786190,,,2,,,,
Boatniks,L,,,,,,,,,18607492,01/07/1970,39,113476120,,5.3,,,,,,,,http://www.the-numbers.com/movie/Boatniks-The#tab=summary
Meet the Robinsons,,BV,,,,,,,,97822171,01/03/2007,205,113297311,,6.9,25123781,,,3413,,,,
Outrageous Fortune,,BV,Touchstone,Silver Screen Partners II,Interscope Communications,,,,,52864741,01/01/1987,111,113068743,,6,6404783,,,1081,,,,
The Color of Money,,BV,Touchstone,Silver Screen Partners II,,,,,,52293982,01/10/1986,110,112760617,,,6357877,,,635,,,,
Atlantis: The Lost Empire,,BV,,,,,,,,84056472,01/08/2001,178,112629990,,,329011,,,2,,,,
Beaches,,BV,Touch Stone,Silver Screen Partners IV,All Girl Productions,,,,,57041866,01/12/1988,121,112586916,,,198361,,,7,,,,
Cool Runnings,L,Buena Vista Pics.,Walt Disney Pic.,,,,,,,68856263,01/10/1993,146,112399697,,6.9,7046648,,,1832,,,,
Herbie Goes to Monte Carlo,L,Buena Vista,Walt Disney Prod.,,,,,,,28000000,01/06/1977,61,112241295,,5.5,,,,,Re-issue: 1981,,,
What About Bob?,,BV,Touch Stone,Touchwood Pacific Partners,,,,,,63707829,01/05/1991,136,111741465,,,9216334,,,1463,,,,
The Black Hole,L,Buena Vista,Walt Disney Prod.,,,,,,,35841901,01/12/1979,77,111141669,,5.9,,,,,,,,
Tim Burton's The Nightmare Before Christmas,,Buena Vista Pics.,Touchstone Pics./Skellington Prod./Tim Burton Prod./Walt Disney Pics. (3D version),,,,,,,50003043,01/10/1993,146,110549225,,,191232,,,2,"Re-issue: 2000, 2006, 2007, 2008, 2009",,,
Sleeping Beauty,A,Buena Vista,Walt Disney Prod.,,,,,,,9464608,01/01/1959,29,110463803,,7.3,,,,,Re-issue: 1986,,http://www.imdb.com/title/tt0053285/business?ref_=tt_dt_bus,
The Horse Whisperer,,BV,Touch Stone,,,,,,,75383563,01/05/1998,163,110129459,,,13685488,,,2039,,,,
Brother Bear,,BV,,,,,,,,85336277,01/10/2003,185,109709240,,,291940,,,2,,,,
Snow Dogs,,BV,,,,,,,,81172560,01/01/2002,177,109011402,,5.1,17814259,,,2302,,,,
"Six Days, Seven Nights",,BV,,,,,,,,74339294,01/12/1998,164,107874979,,,16485276,,,2550,,,,
Flightplan,,BV,Touch Stone,Imagine Entertainment,,,,,,89707299,01/09/2005,199,107322961,,,24629938,,,3424,,,,
Beverly Hills Chihuahua,,BV,,,,,,,,94514402,01/03/2008,213,105680137,,,29300465,,,3215,,,,
Freaky Friday,L,Buena Vista,Walt Disney Prod.,,,,,,,25642000,01/12/1976,58,105546721,,6.3,,,,,Re-issue: 1981,,,
Gnomeo and Juliet,,BV,,,,,,,,99967670,01/11/2011,226,105097072,,,25356909,,,2994,,,,
Bedknobs and Broomsticks,H,Buena Vista,Walt Disney Prod.,,,,,,,17871174,01/12/1971,41,103417136,,7,,,,,,,http://www.imdb.com/title/tt0066817/business?ref_=tt_dt_bus,
The Game Plan,,BV,,,,,,,,90648202,01/09/2007,209,103408255,,,22950971,,,3103,,,,
The Santa Clause 3: The Escape Clause,,BV,,,,,,,,84500122,01/03/2006,200,100587287,,,19504038,,,3458,,,,
The Rookie,,BV,,,,,,,,75600072,01/03/2002,179,100562472,,,16021684,,,2511,,,,
High School Musical 3: Senior Year,,Disney Channel,,,,,,,,90559416,01/10/2008,217,99451318,,4.4,42030184,,105,3626,,,,
"Honey, I Blew Up the Kids",L,Buena Vista Pics.,Touchwood Pacific Part. 1/Walt Disney Pics.,,,,,,,58662452,01/07/1992,141,99303632,,4.7,11083318,,,2429,,,,
Prince of Persia: The Sands of Time,,BV,,,,,,,,90759676,01/05/2010,218,98938022,,6.6,30095259,,,3646,,,,
